"STATION","NAME","DATE","TMAX","TMIN"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-01","58","53"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-02","58","54"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-03","63","53"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-04","61","54"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-05","61","54"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-06","69","53"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-07","60","53"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-08","70","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-09","58","52"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-10","58","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-11","55","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-12","60","52"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-13","57","52"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-14","58","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-15","56","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-16","58","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-17","57","49"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-18","55","47"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-19","57","47"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-20","57","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-21","60","49"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-22","64","48"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-23","62","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-24","60","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-25","57","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-26","67","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-27","63","53"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-28","63","54"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-29","64","50"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-30","64","51"
"USC00503605","HIDDEN FALLS HACHRY, AK US","2023-08-31","57","52"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-01","58","52"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-02","55","50"
"USC00505519","LITTLE PORT WALTER, AK US","2023-08-03","64","49"
